# PRESSURE DATA            SiO4-SiO4            SiO4-SiO5                 SiO5-SiO5            SiO5-SiO6            SiO6-SiO6
0.0000000000000000        0.0000000000000000   0.0000000000000000   0.0000000000000000   0.0000000000000000   0.0000000000000000     
1.0000000474974513E-003   0.0000000000000000   4.7142771846844171   1.8105002180915233   0.0000000000000000   0.0000000000000000        
2.0000000949949026E-003   0.0000000000000000   0.0000000000000000   1.9456395831194511   0.0000000000000000   0.0000000000000000        
3.0000001424923539E-003   0.0000000000000000   3.7009022470375452   0.0000000000000000   0.0000000000000000   0.0000000000000000        
4.0000001899898052E-003   0.0000000000000000   2.6180322634990851   0.0000000000000000   0.0000000000000000   0.0000000000000000        
5.0000002374872565E-003   0.0000000000000000   3.7686896602872921   0.0000000000000000   0.0000000000000000   0.0000000000000000        
6.0000002849847078E-003   0.0000000000000000   4.7113492448401351   2.2807134229705208   0.0000000000000000   0.0000000000000000        
7.0000003324821591E-003   0.0000000000000000   8.0164995610855776   5.2792192720689206   0.0000000000000000   1.6972679928345680        
8.0000003799796104E-003   0.0000000000000000   3.0065395248465210   3.9945236363312393   3.2217703669501874   1.7095274189790473        
9.0000004274770617E-003   0.0000000000000000   5.1138320155660448   4.8551969431489352   3.1213315170601947   2.3648045507722038        
1.0000000474974513E-002   0.0000000000000000   3.4776725072822270   8.9526984840700372   2.7740093243942607   2.4657600499896586        
1.1000000522471964E-002   0.0000000000000000   3.2165175726670494   13.008197028737824   4.2085777443906931   2.1942279846079416        
1.2000000569969416E-002   2.8035657876563942   3.2482688725449953   8.0772431850629882   5.0189694039419086   3.2983392706550423        
1.3000000617466867E-002   2.9271548243252989   1.0799989200822699   8.7657134798059175   3.1670551345748224   3.5659173715787085        
1.4000000664964318E-002   2.9359889323552859   2.2331648580453920   9.9500619062593270   4.6974181212390889   3.5213875432266883        
1.5000000712461770E-002   6.0302571468357229   3.0072919246523995   2.1462693245426179   1.2219847291395136   4.3141324756697816        
1.6000000759959221E-002   4.8485226569141355   2.5028310228478650   2.1002101155535140   0.9879907765743150   2.9846402572245565        
1.7000000807456672E-002   5.8653235647091764   2.1420032176971158   0.0000000000000000   3.6804908311449158   3.8362360637273025        
1.8000000854954123E-002   5.9474117980200871   3.7986821402377786   3.5423025471389429   5.4703347508128708   2.9253353310125845        
1.9000000902451575E-002   7.7836209733207964   3.0461516952424010   3.4302877648704286   0.0000000000000000   1.7898986863677555        
2.0000000949949026E-002   7.7292979864095042   2.1821028250325143   3.1918499991705360   0.0000000000000000   1.8140671455115016        
